Date,Price,Note
2010-07-24,425700000 gp,
2010-07-25,425700000 gp,
2010-07-26,425700000 gp,
2010-07-27,427200000 gp,
2010-07-28,427200000 gp,
2010-07-29,427200000 gp,
2010-07-30,427200000 gp,
2010-07-31,427200000 gp,
2010-08-01,427200000 gp,
2010-08-02,427200000 gp,
2010-08-03,430900000 gp,
2010-08-04,430900000 gp,
2010-08-05,434600000 gp,
2010-08-06,434600000 gp,
2010-08-07,434600000 gp,
2010-08-08,434600000 gp,
2010-08-09,434600000 gp,
2010-08-10,434600000 gp,
2010-08-11,434600000 gp,
2010-08-12,434600000 gp,
2010-08-13,438300000 gp,
2010-08-14,438300000 gp,
2010-08-15,438300000 gp,
2010-08-16,438300000 gp,
2010-08-17,438300000 gp,
2010-08-18,438300000 gp,
2010-08-19,438300000 gp,
2010-08-20,438300000 gp,
2010-08-21,442500000 gp,
2010-08-22,442500000 gp,
2010-08-23,442500000 gp,
2010-08-24,442500000 gp,
2010-08-25,446300000 gp,
2010-08-26,446300000 gp,
2010-08-27,446300000 gp,
2010-08-28,446300000 gp,
2010-08-29,446300000 gp,
2010-08-30,449500000 gp,
2010-08-31,449500000 gp,
2010-09-01,449500000 gp,
2010-09-02,449500000 gp,
2010-09-03,449500000 gp,
2010-09-04,449500000 gp,
2010-09-05,449500000 gp,
2010-09-06,449500000 gp,
2010-09-07,449500000 gp,
2010-09-08,449500000 gp,
2010-09-09,453700000 gp,
2010-09-10,453700000 gp,
2010-09-11,453700000 gp,
2010-09-12,453700000 gp,
2010-09-13,453700000 gp,
2010-09-14,453700000 gp,
2010-09-15,453700000 gp,
2010-09-16,453700000 gp,
2010-09-17,457900000 gp,
2010-09-18,457900000 gp,
2010-09-19,457900000 gp,
2010-09-20,457900000 gp,
2010-09-21,457900000 gp,
2010-09-22,457900000 gp,
2010-09-23,461400000 gp,
2010-09-24,461400000 gp,
2010-09-25,461400000 gp,
2010-09-26,461400000 gp,
2010-09-27,461400000 gp,
2010-09-28,461400000 gp,
2010-09-29,465300000 gp,
2010-09-30,465300000 gp,
2010-10-01,465300000 gp,
2010-10-02,465300000 gp,
2010-10-03,465300000 gp,
2010-10-04,465300000 gp,
2010-10-05,465300000 gp,
2010-10-06,465300000 gp,
2010-10-07,465300000 gp,
2010-10-08,465300000 gp,
2010-10-09,469500000 gp,
2010-10-10,469500000 gp,
2010-10-11,469500000 gp,
2010-10-12,469500000 gp,
2010-10-13,469500000 gp,
2010-10-14,469500000 gp,
2010-10-15,469500000 gp,
2010-10-16,473900000 gp,
2010-10-17,473900000 gp,
2010-10-18,473900000 gp,
2010-10-19,473900000 gp,
2010-10-20,473900000 gp,
2010-10-21,473900000 gp,
2010-10-22,477500000 gp,
2010-10-23,477500000 gp,
2010-10-24,477500000 gp,
2010-10-25,477500000 gp,
2010-10-26,477500000 gp,
2010-10-27,477500000 gp,
2010-10-28,477500000 gp,
2010-10-29,477500000 gp,
2010-10-30,477500000 gp,
2010-10-31,481900000 gp,
2010-11-01,481900000 gp,
2010-11-02,481900000 gp,
2010-11-03,481900000 gp,
2010-11-04,481900000 gp,
2010-11-06,481900000 gp,
2010-11-07,481900000 gp,
2010-11-08,481900000 gp,
2010-11-09,481900000 gp,
2010-11-10,486100000 gp,
2010-11-11,486100000 gp,
2010-11-12,486100000 gp,
2010-11-13,486100000 gp,
2010-11-14,486100000 gp,
2010-11-15,486100000 gp,
2010-11-16,490200000 gp,
2010-11-17,490200000 gp,
2010-11-18,490200000 gp,
2010-11-19,490200000 gp,
2010-11-20,490200000 gp,
2010-11-21,490200000 gp,
2010-11-22,494100000 gp,
2010-11-23,494100000 gp,
2010-11-24,494100000 gp,
2010-11-25,494100000 gp,
2010-11-26,494100000 gp,
2010-11-27,494100000 gp,
2010-11-28,494100000 gp,
2010-11-29,498600000 gp,
2010-11-30,498600000 gp,
2010-12-01,498600000 gp,
